,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
4,550,0,0,0,63,72,70,0,0,0,0,0,0
4,555,0,0,0,63,72,70,0,0,0,0,0,0
4,560,0,0,0,63,72,70,0,0,0,0,0,0
4,565,0,0,0,63,72,70,0,0,0,0,0,0
4,570,0,0,0,63,72,70,0,0,0,0,0,0
4,575,0,0,0,63,72,70,0,0,0,0,0,0
4,580,0,0,0,63,72,70,0,0,0,0,0,0
4,585,0,0,0,63,72,70,0,0,0,0,0,0
4,590,0,0,0,63,72,70,0,0,0,0,1,0
4,595,0,0,0,63,72,70,0,0,0,0,0,0
4,600,0,0,0,63,72,70,0,0,0,0,0,0
4,605,0,0,0,63,72,70,0,0,0,0,0,0
4,610,0,0,0,63,72,70,0,0,0,0,0,0
4,615,0,0,0,63,72,70,0,0,0,0,0,0
4,620,0,0,0,63,72,70,0,0,0,0,0,0
4,625,0,0,0,63,72,70,0,0,0,0,0,0
4,630,0,0,0,63,72,70,0,0,0,0,0,0
4,635,0,0,0,63,72,70,0,0,0,0,0,0
4,640,0,0,0,63,72,70,0,0,0,0,0,0
4,645,0,0,0,63,72,70,0,0,0,0,0,0
4,650,0,0,0,63,72,70,0,0,0,0,0,0
4,655,0,0,0,63,72,70,0,0,0,0,0,0
4,660,0,0,0,63,72,70,0,0,0,0,0,0
4,665,0,0,0,63,72,70,0,0,0,0,0,0
4,670,0,0,0,63,72,70,0,0,0,0,0,0
4,675,0,0,0,63,72,70,0,0,0,0,0,0
4,680,0,0,0,63,72,70,0,0,0,0,0,0
4,685,0,0,0,63,72,70,0,0,0,0,0,0
4,690,0,0,0,63,72,70,0,0,0,0,0,0
4,695,0,0,0,63,72,70,0,0,0,0,0,0
4,700,0,0,0,63,72,70,0,0,0,0,0,0
4,705,0,0,0,63,72,70,0,0,0,0,0,0
4,710,0,0,0,63,72,70,0,0,0,0,0,0
4,715,0,0,0,63,72,70,0,0,0,0,0,0
4,720,0,0,0,63,72,70,0,0,0,0,0,0
4,725,0,0,0,63,72,70,0,0,0,0,0,0
4,730,0,0,0,63,72,70,0,0,0,0,0,0
4,735,0,0,0,63,72,70,0,0,0,0,0,0
4,740,0,0,0,63,72,70,0,0,0,0,0,0
4,745,0,0,0,63,72,70,0,0,0,0,0,0
4,750,0,0,0,63,72,70,0,0,0,0,0,0
4,755,0,0,0,63,72,70,0,0,0,0,0,0
4,760,0,0,0,63,72,70,0,0,0,0,0,0
4,765,0,0,0,63,72,70,0,0,0,0,0,0
4,770,0,0,0,63,72,70,0,0,0,0,0,0
4,775,0,0,0,63,72,70,0,0,0,0,0,0
4,780,0,0,0,63,72,70,0,0,0,0,0,0
4,785,0,0,0,63,72,70,0,0,0,0,0,0
4,790,0,0,0,63,72,70,0,0,0,0,0,0
4,795,0,0,0,63,72,70,0,0,0,0,0,0
4,800,0,0,0,63,72,70,0,0,0,0,0,0
4,805,0,0,0,63,72,70,0,0,0,0,0,0
